review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
63,17,24,4,Buena calidad,No cumplió mis expectativas.,false,6,2024-01-06
64,12,22,2,No tan bueno,No cumplió mis expectativas.,true,37,2023-10-19
65,2,17,N/A,Muy bueno,Muy buena calidad por el precio.,true,39,2026-05-06
66,13,25,2,Podría mejorar,,true,38,2023-07-28
67,,31,3,Satisfecho,Llegó a tiempo y en perfecto estado.,true,12,2025-11-22
68,18,12,2,Satisfecho,Cumple con lo prometido.,true,46,2025-08-26
69,5,2,5,,Excelente relación calidad-precio.,false,46,2025-01-22
70,,100004,1,No tan bueno,Excelente relación calidad-precio.,false,6,
71,16,22,3,No tan bueno,El producto es correcto pero la entrega tardó.,true,15,2025-11-22
72,2,14,3,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,41,
73,13,,2,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,11,2023-08-09
74,18,14,4,Satisfecho,No cumplió mis expectativas.,true,14,2025-03-25
75,10,10,1,No tan bueno,El producto es correcto pero la entrega tardó.,true,36,2026-01-18
76,10,4,2,Recomendado,Llegó a tiempo y en perfecto estado.,false,44,2025-09-10
77,20,27,4,Satisfecho,Llegó a tiempo y en perfecto estado.,true,22,2025-09-29
78,,2,1,Cumple expectativas,,true,17,2024-01-20
79,5,15,1,BUENA CALIDAD,Llegó a tiempo y en perfecto estado.,true,44,2023-01-10
80,1,13,2,Podría mejorar,No cumplió mis expectativas.,false,29,2024-01-28
81,15,21,4,Podría mejorar,Llegó a tiempo y en perfecto estado.,false,40,2023-11-07
82,11,4,1,No tan bueno,Bueno pero esperaba un poco más.,true,27,2024-08-27
83,18,27,1,Buena calidad,Bueno pero esperaba un poco más.,true,22,2025-12-04
84,100015,23,3,  No tan bueno  ,Excelente relación calidad-precio.,true,16,02-09-2025
85,7,,1,,Bueno pero esperaba un poco más.,true,4,2023-07-18
86,,16,5,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,15,2023-04-09
87,7,19,4,Recomendado,Cumple con lo prometido.,true,,2025-12-17
88,19,31,,Cumple expectativas,Llegó a tiempo y en perfecto estado.,false,14,2024-11-11
89,12,25,2,Buena calidad,Bueno pero esperaba un poco más.,false,25,2023-07-21
90,15,14,2,Podría mejorar,Muy buena calidad por el precio.,true,,2023-04-02
91,18,15,1,Satisfecho,No cumplió mis expectativas.,,39,2023-01-15
92,4,,2,,No cumplió mis expectativas.,true,39,2025-12-14
93,13,6,4,"Excelente producto
",Cumple con lo prometido.,true,18,2026-09-19
94,6,31,3,Cumple expectativas,,true,11,2025-02-07
95,18,30,0,Muy bueno,Llegó a tiempo y en perfecto estado.,false,27,2023-05-27
96,1,4,1,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,,"Mar 15, 2023"
97,7,33,2,Podría mejorar,Bueno pero esperaba un poco más.,true,28,2025-01-25
98,20,34,1,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",true,19,
99,,22,1,Cumple expectativas,Muy buena calidad por el precio.,false,26,2026-01-20
100,4,27,5,Podría mejorar,Excelente relación calidad-precio.,,26,2023-01-27
95,18,30,N/A,Muy bueno,Llegó a tiempo y en perfecto estado.,false,27,2023-05-27
47,11,26,4,Podría mejorar,Muy buena calidad por el precio.,false,45,2026-02-21
24,5,15,4,Cumple expectativas,Excelente relación calidad-precio.,true,39,2024-11-12
